,id,text,Cleaned_tweet
53,0.5655083966242913-56,@msdhoni Turn on the #helicopter. #RPSvRCB #IPL2016,turn on the
54,0.5655083966242913-57,@msdhoni has to take bulls by the horns. #RPSvRCB #IPL2016,has to take bulls by the horns 
55,0.5655083966242913-58,Bro wants to play with next captain..lolz.. #ankitsharma #RPSvRCB #IPL2016,bro wants to play with next captain lolz 
56,0.5655083966242913-59,3 wins and then 10 wickets loss.. Big blow!! #GLvSRH #IPL2016,wins and then wickets loss big blow 
57,0.5655083966242913-60,Shaandaar chote bhai.. Give all pot money to #chotapandya #MIvRCB #IPL2016,shaandaar chote bhai give al pot money to
58,0.5655083966242913-61,@NASAdata @spaceapps Joining from Bengaluru. #India very enthusiastic !,joining from bengaluru very enthusiastic 
59,0.5655083966242913-62,"Losing weight, losing #Malinga, #simmons. Losing match.. All losing.. #sad @mipaltan #IPL2016 #SRHvMI",losing weight losing losing match al losing 
60,0.5655083966242913-63,"@mipaltan are those old gen generators that need at least 7, 8 loss to realise..that they should play seriously now. #SRHvMI #IPL2016",are those old gen generators that need at least los to realise that they should play seriously now 
61,0.5655083966242913-64,"At home you don't win. Outside u don't win.. #dafaq
 #SRHvMI #IPL2016",at home you don t win outside u don t win 
62,0.5655083966242913-65,Give us some more sixes.. Need of the hour #SRHvMI #IPL2016,give us some more sixes need of the hour
63,0.5655083966242913-66,"Case with @mipaltan
try{New combination} catch (success s) 
{try {Again try new combination} and keep doing this..#unstable #SRHvMI #IPL2016",case with try new combination catch succes s try again try new combination and keep doing this 
64,0.5655083966242913-67,All the lovely gentleman haha..Another blooper #IPL2016,al the lovely gentleman haha another blooper
65,0.5655083966242913-68,"This #IPL2016 song is very nice.. Cools me down, takes off the anger. #EkIndiaHappywala",this song is very nice cools me down takes of the anger 
66,0.5655083966242913-69,Just thinking what would happen if #RCB batsmen face RCB bowlers.. 400+ ?? #RCBvDD #IPL2016,just thinking what would happen if batsmen face rcb bowlers 
67,0.5655083966242913-70,Some scores 190+ and some.. the bloopers.. Last ball thing was cherry on top. #RCBvDD #IPL2016,some scores and some the bloopers last bal thing was cherry on top 
68,0.5655083966242913-71,#Vodafone Superfan wished a ball signed by @imVkohli but now it's #zaheerkhan #RCBvDD #IPL2016,superfan wished a bal signed by but now it
69,0.5655083966242913-72,Defacto : This why RCB never won trophy. No ballers. #RCBvDD #IPL2016,defacto this why rcb never won trophy no ballers 
70,0.5655083966242913-73,They can score but can't defend . #fact #RCBvDD #IPL2016,they can score but can t defend 
