,id,text,Cleaned_tweet
50,0.5005587103772278-53,@Gurmeetramrahim #4thWeekMSG2AtTheTop  gr888888 n thanks for blessings papa g,gr n thanks for blessings papa g
51,0.5005587103772278-54,@Gurmeetramrahim #MSG2FourthWeek  amazing ......,amazing 
52,0.5005587103772278-55,@Gurmeetramrahim #MSG2Crossed270  waoooooooooo piti g wt a craze....... amazing,wao piti g wt a craze amazing
53,0.5005587103772278-56,@Gurmeetramrahim #MSG2Crossed270  superb craze,superb craze
54,0.5005587103772278-57,@Gurmeetramrahim @MSGTheFilm #MSGCrossed270 yeeeeeeeeee gr8 papa g congratulations g,ye gr papa g congratulations g
55,0.5005587103772278-58,@Gurmeetramrahim #MSG2AtTheTop  waooooooooooo what a craze...amazing,wao what a craze amazing
56,0.5005587103772278-59,@Gurmeetramrahim #MSG2AtTheTop  waooooooo amazing n thanks fr blessings papa g gud night,wao amazing n thanks fr blessings papa g gud night
57,0.5005587103772278-60,@Gurmeetramrahim #MSG2MSG2 thanks papa g.....,thanks papa g 
58,0.5005587103772278-61,@Gurmeetramrahim #OnNewHeightsMSG2  waooooooooooooooooooooooo,wao
59,0.5005587103772278-62,@Gurmeetramrahim #CelebrationMSG2  waooooooow wht a craze,waoow wht a craze
60,0.5005587103772278-63,@Gurmeetramrahim #MSG2In100CrClub thanks for blessings papa g.....,thanks for blessings papa g 
61,0.5005587103772278-64,@Gurmeetramrahim #BdayOfMSGWithMSG2  waooooooo pita g craze for MSG2 is everywhere,wao pita g craze for msg is everywhere
62,0.5005587103772278-65,@Gurmeetramrahim #BdayOfMSGWithMSG2 thanks a lot papa g.....,thanks a lot papa g 
63,0.5005587103772278-66,@Gurmeetramrahim #BdayofMSGWithMSG2 waoooooo,wao
64,0.5005587103772278-67,@Gurmeetramrahim #23SeptBalleBalleMSG2 waoooooooooow amazing,waoow amazing
65,0.5005587103772278-68,@Gurmeetramrahim #23SeptBalleBalleMSG2 waoooooooooo wt a craze ......,wao wt a craze 
66,0.5005587103772278-69,@Gurmeetramrahim #MSGBirthday  g papa g n plz rehmt kro k m simran kr skoon,g papa g n plz rehmt kro k m simran kr skoon
67,0.5005587103772278-70,@Gurmeetramrahim #MSGBirthday  thanks papa g n congrats to u papa g.....,thanks papa g n congrats to u papa g 
68,0.5005587103772278-71,@Gurmeetramrahim #MSG2Dhoom papa g its only due to ur guidance g...salute to u,papa g its only due to ur guidance g salute to u
69,0.5005587103772278-72,@Gurmeetramrahim #OnTopMSG2 waooooooooo wt a craze.....,wao wt a craze 
70,0.5005587103772278-73,@Gurmeetramrahim #MSG2CityTours  #5DaysToMSG2  g papa g craze. n excitement for MSG2 is everywhere....,g papa g craze n excitement for msg is everywhere 
71,0.5005587103772278-74,@Gurmeetramrahim #MSGTheMessengerSong  good afternoon papa g n looking oooooooooooossssssmmmmmmmmm u r ....,good afternoon papa g n looking oossm u r 
72,0.5005587103772278-75,@Gurmeetramrahim #PosterMSG2ForU   u r looking awesome papa g.....,u r looking awesome papa g 
73,0.5005587103772278-76,@Gurmeetramrahim #MSGPrayToGod  papa g plz bless them,papa g plz bles them
74,0.5005587103772278-77,@Gurmeetramrahim #MSGTheMessengerSong yeeeeeeeeeee thanks papa g.....,ye thanks papa g 
75,0.5005587103772278-78,@Gurmeetramrahim #MSG2FilmPoster  yes  papa g v r ready n I think ur next surprise is song .....,yes papa g v r ready n i think ur next surprise is song 
76,0.5005587103772278-79,@Gurmeetramrahim @narendramodi #MSGSwachhBharat  grand salute to u n ur volunteers....,grand salute to u n ur volunteers 
77,0.5005587103772278-80,"@Gurmeetramrahim #MSGSwachhBharat  grand salute to u papa g n its amazing..
.....",grand salute to u papa g n its amazing 
78,0.5005587103772278-81,@Gurmeetramrahim #MSGSwachhBharat  g papa g n its only due to ur guidance g.....,g papa g n its only due to ur guidance g 
79,0.5005587103772278-82,@Gurmeetramrahim #MSGSwachhBharat OK papa g n thanks g,ok papa g n thanks g
80,0.5005587103772278-83,@Gurmeetramrahim #PartyDhoomDhamSe craze fr MSG2 is everywhere papa g amazing.... n thanks papa g,craze fr msg is everywhere papa g amazing n thanks papa g
81,0.5005587103772278-84,@Gurmeetramrahim #PartyDhoomDhamSe thanks fr blessings papa g n looking so sweet u r...,thanks fr blessings papa g n looking so sweet u r 
82,0.5005587103772278-85,@Gurmeetramrahim #PartyDhoomDhamSe waoooooooo piti its great but I miss it .....n u r looking osm papa g...,wao piti its great but i mis it n u r looking osm papa g 
83,0.5005587103772278-86,@Gurmeetramrahim #MSG2TrailerLaunch  papa g aaj snehmeet ki 1st rakhi h plz bless him,papa g aaj snehmeet ki st rakhi h plz bles him
84,0.5005587103772278-87,@Gurmeetramrahim #MSG2TrailerLaunch g papa g n wt a craze for movie amazing.....,g papa g n wt a craze for movie amazing 
85,0.5005587103772278-88,@Gurmeetramrahim #MSG2TrailerLaunch Happy Onam to u papa g n papa g trailer ne to all world mein dhoom machai hui h,happy onam to u papa g n papa g trailer ne to al world mein dhoom machai hui h
86,0.5005587103772278-89,@Gurmeetramrahim #MSG2TrailerLaunch waooooooooooooo piti its amazing ....wt a trailer supurbbbbb ...hats off u papa g,wao piti its amazing wt a trailer supurb hats of u papa g
87,0.5005587103772278-90,@Gurmeetramrahim #MSG2NewPoster waooooooooooooooo piti looking awesome u r suberbbbbbbb amazing....,wao piti looking awesome u r suberb amazing 
88,0.5005587103772278-91,@Gurmeetramrahim #MSG2NewPoster  waooooooooo great papa g n thanks a lot g.....,wao great papa g n thanks a lot g 
89,0.5005587103772278-92,@Gurmeetramrahim #MSG2NewPoster  OK papa g but plz thoda jldi  plz plz plz.....,ok papa g but plz thoda jldi plz plz plz 
90,0.5005587103772278-93,@Gurmeetramrahim #MSG2NewPoster  n aapka next surprise trailer h papa g,n aapka next surprise trailer h papa g
91,0.5005587103772278-94,@Gurmeetramrahim #MSG2NewPoster  g papa g n now v r waiting fr  trailer,g papa g n now v r waiting fr trailer
92,0.5005587103772278-95,@Gurmeetramrahim #MSG2NewPoster  g papa g n we all r craze for MSG2 movie,g papa g n we al r craze for msg movie
93,0.5005587103772278-96,@Gurmeetramrahim #MSG2PosterRelease waooooooooooo piti superb looking awesome papa g thanks a lot g for this poster....,wao piti superb looking awesome papa g thanks a lot g for this poster 
94,0.5005587103772278-97,@Gurmeetramrahim #MSG2TeaserLaunch waoooooooooo pita g its great n papa g its only due to ur guidance,wao pita g its great n papa g its only due to ur guidance
95,0.5005587103772278-98,@Gurmeetramrahim #MSG2TeaserLaunch  waoooooooooooo piti all world is so exited for MSG2 great papa g.......,wao piti al world is so exited for msg great papa g 
96,0.5005587103772278-99,@Gurmeetramrahim #MSG2TeaserLaunch papa g hm sb besbri se intzar kr rhe hain MSG2 ka,papa g hm sb besbri se intzar kr rhe hain msg ka
97,0.5005587103772278-100,@Gurmeetramrahim #MSG2TeaserLaunch papa g teaser dekh kr ab rha nhi jata ab to Hasbro se wait h trailer & movie ka craze fr MSG2 annmmmazing,papa g teaser dekh kr ab rha nhi jata ab to hasbro se wait h trailer movie ka craze fr msg annmmazing
98,0.5005587103772278-101,@Gurmeetramrahim #MSG2TeaserLaunch  congratulations papa g sweet luck ke birthday k liye,congratulations papa g sweet luck ke birthday k liye
99,0.5005587103772278-102,@Gurmeetramrahim #MSG2TeaserLaunch papa g aapki is quiz ne purani yaadein taza kr di ese lgta  h ki aap hmeshan hmare sath ho thanks papa g,papa g aapki is quiz ne purani yaadein taza kr di ese lgta h ki aap hmeshan hmare sath ho thanks papa g
100,0.5005587103772278-103,@Gurmeetramrahim #MSG2TeaserLaunch  sorry papa g I  don't know,sorry papa g i don t know
101,0.5005587103772278-104,@Gurmeetramrahim #MSG2TeaserLaunch  only 49 days waooooooooo its great n its possible only becoze of u papa g,only days wao its great n its possible only becoze of u papa g
102,0.5005587103772278-105,@Gurmeetramrahim #MSG2TeaserLaunch thanks papa g n Teaser k liye itna craze h to trailer or movie k aane pe kya hoga ...don't know ....,thanks papa g n teaser k liye itna craze h to trailer or movie k aane pe kya hoga don t know 
103,0.5005587103772278-106,@Gurmeetramrahim #MSG2Teaser  wt a craze papa g. ..,wt a craze papa g 
104,0.5005587103772278-107,@Gurmeetramrahim #MSG2Teaser  #MSGOnYouTube  yes papa g we r ready,yes papa g we r ready
105,0.5005587103772278-108,@Gurmeetramrahim #MSG2Teaser very gud mrng papa g ...love u soooooooo much papa......,very gud mrng papa g love u so much papa 
106,0.5005587103772278-109,@Gurmeetramrahim #MSG2Teaser  papa g wait nhi ho rha ab plz jldi release kr do teaser plz plz plz.....,papa g wait nhi ho rha ab plz jldi release kr do teaser plz plz plz 
107,0.5005587103772278-110,@Gurmeetramrahim #MSGOnYouTube thanks a lot papa g.....#MSGDoing112WelfareWorks,thanks a lot papa g 
108,0.5005587103772278-111,@Gurmeetramrahim #MSGOnYouTube #MSGDoing112WelfareWorks  g papa g sure I will join humanitarian service on the world  humanitarian day.,g papa g sure i wil join humanitarian service on the world humanitarian day 
109,0.5005587103772278-112,@Gurmeetramrahim #MSGonYouTube      awesome video papa g n crowd of ur fans amazing.......papa g,awesome video papa g n crowd of ur fans amazing papa g
110,0.5005587103772278-113,@Gurmeetramrahim #MSGOnYouTube waooooooo piti its great gift for us thanks a lot g.....,wao piti its great gift for us thanks a lot g 
111,0.5005587103772278-114,@Gurmeetramrahim #MSG2PosterRelease  g papa g v r waiting......,g papa g v r waiting 
112,0.5005587103772278-115,@Gurmeetramrahim #MSG2PosterRelease  waooooooooo piti greatttttt its only due to ur guidance .....,wao piti great its only due to ur guidance 
113,0.5005587103772278-116,@Gurmeetramrahim #MSG2PosterRelease  congratulations to u papa g its only due to u g.....,congratulations to u papa g its only due to u g 
114,0.5005587103772278-117,@Gurmeetramrahim #MSG2PosterRelease waoooooo piti wt a crowd amazing pa.....,wao piti wt a crowd amazing pa 
115,0.5005587103772278-118,@Gurmeetramrahim #MSG2PosterRelease  g papa g sure we follow it .....,g papa g sure we follow it 
116,0.5005587103772278-119,@Gurmeetramrahim #MSG2PosterRelease  waooooooooooo piti looking awesome......,wao piti looking awesome 
117,0.5005587103772278-120,@Gurmeetramrahim #WishBdayByWelfare  greatttttt papa g...,great papa g 
118,0.5005587103772278-121,@Gurmeetramrahim #WishBdayByWelfare  again happy birthday papa g.....,again happy birthday papa g 
119,0.5005587103772278-122,@Gurmeetramrahim #WishBdayByWelfare  greatttttttt papa g n looking osm u r n papa I miss it plz never miss again cake ceremony....,great papa g n looking osm u r n papa i mis it plz never mis again cake ceremony 
120,0.5005587103772278-123,@Gurmeetramrahim #WishBdayByWelfare  g papa g n thanks a lot g n again happy birthday my loving pa from both of us.....,g papa g n thanks a lot g n again happy birthday my loving pa from both of us 
121,0.5005587103772278-124,@Gurmeetramrahim #WishBdayByWelfare  Happy birthday my sweet papa g love u so much g.....,happy birthday my sweet papa g love u so much g 
122,0.5005587103772278-125,@Gurmeetramrahim #MSGDeshKeLiye  thanks papa g thanks a lot g ...ese hi rehmt bnaye rkhna g.....,thanks papa g thanks a lot g ese hi rehmt bnaye rkhna g 
123,0.5005587103772278-126,@Gurmeetramrahim #MSGDeshKeLiye g papa g jrur we will always remember their sacrifices n salute to them....,g papa g jrur we wil always remember their sacrifices n salute to them 
124,0.5005587103772278-127,@Gurmeetramrahim #GarvDiwasOfGreenS  everything was suberb....n u r looking osm pa....,everything was suberb n u r looking osm pa 
125,0.5005587103772278-128,@Gurmeetramrahim #GarvDiwasOfGreenS waooooooooooo great papa g .....n everything is fabulous.....,wao great papa g n everything is fabulous 
126,0.5005587103772278-129,@Gurmeetramrahim #GarvDiwasOfGreenS  papa g u r looking oooooooooooooosssssmmmmmmm.....,papa g u r looking oossmm 
127,0.5005587103772278-130,@Gurmeetramrahim #GarvDiwasOfGreenS  papa g u r world's best coach ...love u pa.....,papa g u r world best coach love u pa 
128,0.5005587103772278-131,@Gurmeetramrahim #GarvDiwasOfGreenS grand salute to u papa g....,grand salute to u papa g 
129,0.5005587103772278-132,@Gurmeetramrahim #MSGDoing111WelfareWorks  salute to u n ur Greens warriors papa g n all this only becoze of ur teaching  pita g.....,salute to u n ur greens warriors papa g n al this only becoze of ur teaching pita g 
130,0.5005587103772278-133,@Gurmeetramrahim #MSGPapaCoach  waooooooooo congrats papa g its only becoze of u ....my papa coach....,wao congrats papa g its only becoze of u my papa coach 
131,0.5005587103772278-134,@Gurmeetramrahim #WishBdayByWelfare  congratulations pita g.....,congratulations pita g 
132,0.5005587103772278-135,@Gurmeetramrahim #WishBdayByWelfare  g papa g n rehmt krna k hm hmeshan nek bne .....,g papa g n rehmt krna k hm hmeshan nek bne 
133,0.5005587103772278-136,@Gurmeetramrahim #MSGDoing111WelfareWorks amazing pa its only becoze of ur guidance hats off to u papa g  n ur sewadars .....,amazing pa its only becoze of ur guidance hats of to u papa g n ur sewadars 
134,0.5005587103772278-137,@Gurmeetramrahim #WishBdayByWelfare g papa g n plz always bless me .....,g papa g n plz always bles me 
135,0.5005587103772278-138,@Gurmeetramrahim #MSGTheFilm congrats to u papa g n thanks a lot g.....,congrats to u papa g n thanks a lot g 
136,0.5005587103772278-139,@Gurmeetramrahim #MSGSalutes  grand salute to them n papa g  plz bless them n their families.....,grand salute to them n papa g plz bles them n their families 
137,0.5005587103772278-140,@Gurmeetramrahim #MSGDoing111WelfareWorks g papa g salute to ur Green's welfare sewadars ....,g papa g salute to ur green welfare sewadars 
138,0.5005587103772278-141,@Gurmeetramrahim #WishBdayByWelfare  g papa g n u r true care taker  thanks papa g.....,g papa g n u r true care taker thanks papa g 
139,0.5005587103772278-142,@Gurmeetramrahim #WishBdayByWelfare  greatttttt  papa g its only due to ur blessings papa g .....,great papa g its only due to ur blessings papa g 
140,0.5005587103772278-143,"@Gurmeetramrahim #WishBdayByWelfare thanks papa g...looking osm piti u r selfie king..
...",thanks papa g looking osm piti u r selfie king 
141,0.5005587103772278-144,@Gurmeetramrahim #WishBdayByWelfare  thanks a lot papa g n aap hi himt de skte ho g.....,thanks a lot papa g n aap hi himt de skte ho g 
142,0.5005587103772278-145,@Gurmeetramrahim #MSGSalutes  happy birthday month papa g.....love u pa.....,happy birthday month papa g love u pa 
143,0.5005587103772278-146,@Gurmeetramrahim #MSGSalutes   salute to him .....,salute to him 
144,0.5005587103772278-147,@Gurmeetramrahim #GuruPurnimaWithMSG  papa g plz mujhe jldi thik kr do g.....,papa g plz mujhe jldi thik kr do g 
145,0.5005587103772278-148,"@Gurmeetramrahim #We1Ours1 g papa g jrur ...we follow it.....
.",g papa g jrur we follow it 
146,0.5005587103772278-149,@Gurmeetramrahim #GuruPurnimaWithMSG  looking osm piti.....,looking osm piti 
147,0.5005587103772278-150,@Gurmeetramrahim #GuruPurnimaWithMSG  happy guru purnima pita g  n thanks a lot papa g .....,happy guru purnima pita g n thanks a lot papa g 
148,0.5005587103772278-151,@Gurmeetramrahim #OurDaughtersOurPride waooooooo thanks a lot papa g...love u pa,wao thanks a lot papa g love u pa
149,0.5005587103772278-152,@Gurmeetramrahim #SelfieWithMSG  waoooooooooo piti looking osm.....,wao piti looking osm 
150,0.5005587103772278-153,@Gurmeetramrahim #MSGPrayToGod papa g plz bless him.....,papa g plz bles him 
151,0.5005587103772278-154,@Gurmeetramrahim #MSGDoing111WelfareWorks g papa g its only becoze of ur guidance ...grand salute to u papa g.....,g papa g its only becoze of ur guidance grand salute to u papa g 
152,0.5005587103772278-155,@Gurmeetramrahim #MSGSalutes  salute to them papa g.....,salute to them papa g 
153,0.5005587103772278-156,@Gurmeetramrahim #OurDaughtersOurPride  thanks papa g himt dena g.....,thanks papa g himt dena g 
154,0.5005587103772278-157,@Gurmeetramrahim #OurDaughtersOurPride hats off to u papa coach,hats of to u papa coach
155,0.5005587103772278-158,@Gurmeetramrahim #OurDaughtersOurPride  papa g aapki blessings se hi ye bache world champion hain g,papa g aapki blessings se hi ye bache world champion hain g
156,0.5005587103772278-159,@Gurmeetramrahim #MSGRubruNight  wht a crowd greatttttt papa g,wht a crowd great papa g
157,0.5005587103772278-160,"@Gurmeetramrahim #MSGRubruNight  wht a smile pa looking amazing  papa g...
.",wht a smile pa looking amazing papa g 
158,0.5005587103772278-161,@Gurmeetramrahim #MSGLovesSewadars  waoooooooo piti superbbbbbb  u r looking osm piti n ur love with sewadars greattttttt ...,wao piti superb u r looking osm piti n ur love with sewadars great 
159,0.5005587103772278-162,@Gurmeetramrahim #MSGEidMubarak  thanks a lot g...,thanks a lot g 
160,0.5005587103772278-163,@Gurmeetramrahim #MSGEidMubarak  thanks papa g n same to u g.....,thanks papa g n same to u g 
161,0.5005587103772278-164,@Gurmeetramrahim #OurYouthOurStrength  all becoz of ur guidance piti grand salute to u.....,al becoz of ur guidance piti grand salute to u 
162,0.5005587103772278-165,@Gurmeetramrahim #MSGTreePlantationDrive gud night pa,gud night pa
163,0.5005587103772278-166,@Gurmeetramrahim #MSGHappyDoctorsDay  Happy Doctors day papa g.....,happy doctors day papa g 
164,0.5005587103772278-167,@Gurmeetramrahim #MSGFilmDVDLaunched  thanks papa g.....,thanks papa g 
