id,text
0.5477838252581613-57,"@SirJadeja You were sifarshi in WC. Chaploos of Dhoni, You can never replace @YUVSTRONG12 Yuvi rocks. #BleedBlue Anushka #WeGaveItBack"
0.5477838252581613-58,#WeGaveItBack rather they #SnatchedItBack :P
0.5477838252581613-59,Dear Big Bro. Yuvi @YUVSTRONG12 Read my old tweets. I am always proud of you and I said you will be missed. See that every1 is missing u :)
0.5477838252581613-60,@msdhoni I hope now you realize the importance of @Yuvistrong121 Yuvi. #Rahane #DareToBeDhoni Go India #ChaloWinItBack #IndiaJeetega Anushka
0.5477838252581613-61,RT if u think tat if Yuvi @YUVSTRONG12 had bin der dn situation could hv been differenct #INDvAUS #ChaloWinItBack #Rahane Anushka Go India
0.5477838252581613-62,@YUVSTRONG12 Yuvi u r being missed by @msdhoni in crucial match of #INDvAUS #ChaloWinItBack #Rahane Anushka Go India #IndiaJeetega Big Lol
0.5477838252581613-63,"अब Anushka देख रही है आस्ट्रेलिया के तेवर
जब Bold and Catch Ho रहे है उसके जेठ और  देवर 
#IndiaJeetega #WeWontGiveItBack Kohli Johnson"
0.5477838252581613-64,"Kohli aur Team India ka LOOL ho gaya hain, Anushka kaa wrong no. :P #IndiaJeetega #WeWontGiveItBack Haddin Johnson #ChaloWinItBack #AUSvIND"
0.5477838252581613-65,@Esther_J_13 haan aajkal ol nahi aa raha hoon twitter per ;)
0.5477838252581613-66,@Esther_J_13 many many happy returns of the day belatedly
0.5477838252581613-67,Wonderful shot by Elliot and yeah its SIX. #NZ enters final #NZvSA
0.5477838252581613-68,Isi bich border per awaje aa rahi hai kee Hamari #PAK haar ka badla hamare papa #IND lenge #AUSvPAK #INDvsBAN #IndvsAus #INDvsAUS @ImRo45
0.5477838252581613-69,Now get ready for excitement of #INDvsAUS . Beware Aussie Champions are back. Ye hain India ka Tyohaar... ;) <3 #AUSvPak @ImRaina @ImRo45
0.5477838252581613-70,@sugandhadixit85 nice pics maam
0.5477838252581613-71,@radhika_apte looking gorgeous
0.5477838252581613-72,Lady Pappu failed with First Class First #AAPSweep #DelhiDecides #Feb10WithArnab #NDTVResults
