id,text
0.5005587103772278-67,@Gurmeetramrahim #23SeptBalleBalleMSG2 waoooooooooow amazing
0.5005587103772278-68,@Gurmeetramrahim #23SeptBalleBalleMSG2 waoooooooooo wt a craze ......
0.5005587103772278-69,@Gurmeetramrahim #MSGBirthday  g papa g n plz rehmt kro k m simran kr skoon
0.5005587103772278-70,@Gurmeetramrahim #MSGBirthday  thanks papa g n congrats to u papa g.....
0.5005587103772278-71,@Gurmeetramrahim #MSG2Dhoom papa g its only due to ur guidance g...salute to u
0.5005587103772278-72,@Gurmeetramrahim #OnTopMSG2 waooooooooo wt a craze.....
0.5005587103772278-73,@Gurmeetramrahim #MSG2CityTours  #5DaysToMSG2  g papa g craze. n excitement for MSG2 is everywhere....
0.5005587103772278-74,@Gurmeetramrahim #MSGTheMessengerSong  good afternoon papa g n looking oooooooooooossssssmmmmmmmmm u r ....
0.5005587103772278-75,@Gurmeetramrahim #PosterMSG2ForU   u r looking awesome papa g.....
0.5005587103772278-76,@Gurmeetramrahim #MSGPrayToGod  papa g plz bless them
0.5005587103772278-77,@Gurmeetramrahim #MSGTheMessengerSong yeeeeeeeeeee thanks papa g.....
0.5005587103772278-78,@Gurmeetramrahim #MSG2FilmPoster  yes  papa g v r ready n I think ur next surprise is song .....
0.5005587103772278-79,@Gurmeetramrahim @narendramodi #MSGSwachhBharat  grand salute to u n ur volunteers....
0.5005587103772278-80,"@Gurmeetramrahim #MSGSwachhBharat  grand salute to u papa g n its amazing..
....."
0.5005587103772278-81,@Gurmeetramrahim #MSGSwachhBharat  g papa g n its only due to ur guidance g.....
0.5005587103772278-82,@Gurmeetramrahim #MSGSwachhBharat OK papa g n thanks g
0.5005587103772278-83,@Gurmeetramrahim #PartyDhoomDhamSe craze fr MSG2 is everywhere papa g amazing.... n thanks papa g
0.5005587103772278-84,@Gurmeetramrahim #PartyDhoomDhamSe thanks fr blessings papa g n looking so sweet u r...
0.5005587103772278-85,@Gurmeetramrahim #PartyDhoomDhamSe waoooooooo piti its great but I miss it .....n u r looking osm papa g...
0.5005587103772278-86,@Gurmeetramrahim #MSG2TrailerLaunch  papa g aaj snehmeet ki 1st rakhi h plz bless him
0.5005587103772278-87,@Gurmeetramrahim #MSG2TrailerLaunch g papa g n wt a craze for movie amazing.....
0.5005587103772278-88,@Gurmeetramrahim #MSG2TrailerLaunch Happy Onam to u papa g n papa g trailer ne to all world mein dhoom machai hui h
0.5005587103772278-89,@Gurmeetramrahim #MSG2TrailerLaunch waooooooooooooo piti its amazing ....wt a trailer supurbbbbb ...hats off u papa g
0.5005587103772278-90,@Gurmeetramrahim #MSG2NewPoster waooooooooooooooo piti looking awesome u r suberbbbbbbb amazing....
0.5005587103772278-91,@Gurmeetramrahim #MSG2NewPoster  waooooooooo great papa g n thanks a lot g.....
0.5005587103772278-92,@Gurmeetramrahim #MSG2NewPoster  OK papa g but plz thoda jldi  plz plz plz.....
0.5005587103772278-93,@Gurmeetramrahim #MSG2NewPoster  n aapka next surprise trailer h papa g
0.5005587103772278-94,@Gurmeetramrahim #MSG2NewPoster  g papa g n now v r waiting fr  trailer
0.5005587103772278-95,@Gurmeetramrahim #MSG2NewPoster  g papa g n we all r craze for MSG2 movie
0.5005587103772278-96,@Gurmeetramrahim #MSG2PosterRelease waooooooooooo piti superb looking awesome papa g thanks a lot g for this poster....
0.5005587103772278-97,@Gurmeetramrahim #MSG2TeaserLaunch waoooooooooo pita g its great n papa g its only due to ur guidance
0.5005587103772278-98,@Gurmeetramrahim #MSG2TeaserLaunch  waoooooooooooo piti all world is so exited for MSG2 great papa g.......
0.5005587103772278-99,@Gurmeetramrahim #MSG2TeaserLaunch papa g hm sb besbri se intzar kr rhe hain MSG2 ka
0.5005587103772278-100,@Gurmeetramrahim #MSG2TeaserLaunch papa g teaser dekh kr ab rha nhi jata ab to Hasbro se wait h trailer & movie ka craze fr MSG2 annmmmazing
0.5005587103772278-101,@Gurmeetramrahim #MSG2TeaserLaunch  congratulations papa g sweet luck ke birthday k liye
0.5005587103772278-102,@Gurmeetramrahim #MSG2TeaserLaunch papa g aapki is quiz ne purani yaadein taza kr di ese lgta  h ki aap hmeshan hmare sath ho thanks papa g
0.5005587103772278-103,@Gurmeetramrahim #MSG2TeaserLaunch  sorry papa g I  don't know
0.5005587103772278-104,@Gurmeetramrahim #MSG2TeaserLaunch  only 49 days waooooooooo its great n its possible only becoze of u papa g
0.5005587103772278-105,@Gurmeetramrahim #MSG2TeaserLaunch thanks papa g n Teaser k liye itna craze h to trailer or movie k aane pe kya hoga ...don't know ....
0.5005587103772278-106,@Gurmeetramrahim #MSG2Teaser  wt a craze papa g. ..
0.5005587103772278-107,@Gurmeetramrahim #MSG2Teaser  #MSGOnYouTube  yes papa g we r ready
0.5005587103772278-108,@Gurmeetramrahim #MSG2Teaser very gud mrng papa g ...love u soooooooo much papa......
0.5005587103772278-109,@Gurmeetramrahim #MSG2Teaser  papa g wait nhi ho rha ab plz jldi release kr do teaser plz plz plz.....
0.5005587103772278-110,@Gurmeetramrahim #MSGOnYouTube thanks a lot papa g.....#MSGDoing112WelfareWorks
0.5005587103772278-111,@Gurmeetramrahim #MSGOnYouTube #MSGDoing112WelfareWorks  g papa g sure I will join humanitarian service on the world  humanitarian day.
0.5005587103772278-112,@Gurmeetramrahim #MSGonYouTube      awesome video papa g n crowd of ur fans amazing.......papa g
0.5005587103772278-113,@Gurmeetramrahim #MSGOnYouTube waooooooo piti its great gift for us thanks a lot g.....
0.5005587103772278-114,@Gurmeetramrahim #MSG2PosterRelease  g papa g v r waiting......
0.5005587103772278-115,@Gurmeetramrahim #MSG2PosterRelease  waooooooooo piti greatttttt its only due to ur guidance .....
0.5005587103772278-116,@Gurmeetramrahim #MSG2PosterRelease  congratulations to u papa g its only due to u g.....
0.5005587103772278-117,@Gurmeetramrahim #MSG2PosterRelease waoooooo piti wt a crowd amazing pa.....
0.5005587103772278-118,@Gurmeetramrahim #MSG2PosterRelease  g papa g sure we follow it .....
0.5005587103772278-119,@Gurmeetramrahim #MSG2PosterRelease  waooooooooooo piti looking awesome......
0.5005587103772278-120,@Gurmeetramrahim #WishBdayByWelfare  greatttttt papa g...
0.5005587103772278-121,@Gurmeetramrahim #WishBdayByWelfare  again happy birthday papa g.....
0.5005587103772278-122,@Gurmeetramrahim #WishBdayByWelfare  greatttttttt papa g n looking osm u r n papa I miss it plz never miss again cake ceremony....
0.5005587103772278-123,@Gurmeetramrahim #WishBdayByWelfare  g papa g n thanks a lot g n again happy birthday my loving pa from both of us.....
0.5005587103772278-124,@Gurmeetramrahim #WishBdayByWelfare  Happy birthday my sweet papa g love u so much g.....
0.5005587103772278-125,@Gurmeetramrahim #MSGDeshKeLiye  thanks papa g thanks a lot g ...ese hi rehmt bnaye rkhna g.....
0.5005587103772278-126,@Gurmeetramrahim #MSGDeshKeLiye g papa g jrur we will always remember their sacrifices n salute to them....
0.5005587103772278-127,@Gurmeetramrahim #GarvDiwasOfGreenS  everything was suberb....n u r looking osm pa....
0.5005587103772278-128,@Gurmeetramrahim #GarvDiwasOfGreenS waooooooooooo great papa g .....n everything is fabulous.....
0.5005587103772278-129,@Gurmeetramrahim #GarvDiwasOfGreenS  papa g u r looking oooooooooooooosssssmmmmmmm.....
0.5005587103772278-130,@Gurmeetramrahim #GarvDiwasOfGreenS  papa g u r world's best coach ...love u pa.....
0.5005587103772278-131,@Gurmeetramrahim #GarvDiwasOfGreenS grand salute to u papa g....
0.5005587103772278-132,@Gurmeetramrahim #MSGDoing111WelfareWorks  salute to u n ur Greens warriors papa g n all this only becoze of ur teaching  pita g.....
0.5005587103772278-133,@Gurmeetramrahim #MSGPapaCoach  waooooooooo congrats papa g its only becoze of u ....my papa coach....
0.5005587103772278-134,@Gurmeetramrahim #WishBdayByWelfare  congratulations pita g.....
0.5005587103772278-135,@Gurmeetramrahim #WishBdayByWelfare  g papa g n rehmt krna k hm hmeshan nek bne .....
0.5005587103772278-136,@Gurmeetramrahim #MSGDoing111WelfareWorks amazing pa its only becoze of ur guidance hats off to u papa g  n ur sewadars .....
0.5005587103772278-137,@Gurmeetramrahim #WishBdayByWelfare g papa g n plz always bless me .....
0.5005587103772278-138,@Gurmeetramrahim #MSGTheFilm congrats to u papa g n thanks a lot g.....
0.5005587103772278-139,@Gurmeetramrahim #MSGSalutes  grand salute to them n papa g  plz bless them n their families.....
0.5005587103772278-140,@Gurmeetramrahim #MSGDoing111WelfareWorks g papa g salute to ur Green's welfare sewadars ....
0.5005587103772278-141,@Gurmeetramrahim #WishBdayByWelfare  g papa g n u r true care taker  thanks papa g.....
0.5005587103772278-142,@Gurmeetramrahim #WishBdayByWelfare  greatttttt  papa g its only due to ur blessings papa g .....
0.5005587103772278-143,"@Gurmeetramrahim #WishBdayByWelfare thanks papa g...looking osm piti u r selfie king..
..."
0.5005587103772278-144,@Gurmeetramrahim #WishBdayByWelfare  thanks a lot papa g n aap hi himt de skte ho g.....
0.5005587103772278-145,@Gurmeetramrahim #MSGSalutes  happy birthday month papa g.....love u pa.....
0.5005587103772278-146,@Gurmeetramrahim #MSGSalutes   salute to him .....
0.5005587103772278-147,@Gurmeetramrahim #GuruPurnimaWithMSG  papa g plz mujhe jldi thik kr do g.....
0.5005587103772278-148,"@Gurmeetramrahim #We1Ours1 g papa g jrur ...we follow it.....
."
0.5005587103772278-149,@Gurmeetramrahim #GuruPurnimaWithMSG  looking osm piti.....
0.5005587103772278-150,@Gurmeetramrahim #GuruPurnimaWithMSG  happy guru purnima pita g  n thanks a lot papa g .....
