id,text
0.712703462923385-63,"Honor 6X with 5.5-inch 1080p display, 4GB RAM, 64GB internal storage dual rear cameras, 4G VoLTE announced..."
0.712703462923385-64,Samsung Galaxy Note7 customers who opt for Galaxy S7 or S7 edge get 50% discount on Galaxy S8 or Note8 in Korea...
0.712703462923385-65,Apple Watch Nike  to be available in India on October 28 starting Rs. 32900...
0.712703462923385-66,Sony MDR-XB50BS and MDR-XB80BS Sports Bluetooth in-ear headphones launched in India starting at Rs. 5490...
0.712703462923385-67,"OPPO R9s Plus with 6-inch 1080p displays, 16MP front and rear cameras announced..."
0.712703462923385-68,Apple releases iOS 10.1 with Portrait camera mode for iPhone 7 Plus and other improvements...
0.712703462923385-69,"Zopo Color F5 with 5-inch display, fingerprint sensor, 4G LTE launched for Rs. 10590..."
0.712703462923385-70,Plantronics BackBeat PRO 2 Bluetooth noise cancelling headphones with 24h battery life announced...
0.712703462923385-71,Airtel now offers 10GB 4G data for Rs. 259 with any new 4G smartphone...
0.712703462923385-72,You can now book Ola and Uber rides directly from Google Search...
0.712703462923385-73,Microsoft’s advanced speech recognition system reaches human parity...
0.712703462923385-74,Western Digital My Passport and My Book hard drives launched starting at Rs. 7980...
0.712703462923385-75,"ZTE nubia Z11 miniS with 5.2-inch 1080p display, Snapdragon 625, 4GB RAM, 23MP camera announced..."
0.712703462923385-76,"Google’s Gboard updated with 3D Touch, new themes and iOS 10 emojis..."
0.712703462923385-77,"Samsung introduces 8GB LPDDR4 RAM, coming to next-gen flagship mobile devices..."
0.712703462923385-78,"Reliance Jio 4G speed slowest shows TRAI data, Jio says tests performed after FUP..."
0.712703462923385-79,"Panasonic Eluga Tapp with 2GB RAM, fingerprint sensor, 4G VoLTE launched for Rs. 8990..."
0.712703462923385-80,Vodafone offers free incoming calls while roaming nationally...
0.712703462923385-81,"Chrome 54 for Android gets support for background media playback, article suggestions and more..."
0.712703462923385-82,"Moto G4, G4 Plus Android 7.0 Nougat to roll out in India soon, soak test begins for G4 Plus..."
0.712703462923385-83,"Gionee P7 Max with 5.5-inch display, 3GB RAM, 4G VoLTE, 3100mAh battery launched for Rs. 13999..."
0.712703462923385-84,LG G6 will reportedly not have a modular design and Friends modules...
0.712703462923385-85,"Honor 6X with 5.5-inch 1080p display, 4GB RAM, 64GB internal storage dual rear cameras, 4G VoLTE announced..."
0.712703462923385-86,Samsung Galaxy Note7 customers who opt for Galaxy S7 or S7 edge get 50% discount on Galaxy S8 or Note8 in Korea...
0.712703462923385-87,Apple Watch Nike  to be available in India on October 28 starting Rs. 32900...
0.712703462923385-88,Sony MDR-XB50BS and MDR-XB80BS Sports Bluetooth in-ear headphones launched in India starting at Rs. 5490...
0.712703462923385-89,"OPPO R9s Plus with 6-inch 1080p displays, 16MP front and rear cameras announced..."
0.712703462923385-90,Apple releases iOS 10.1 with Portrait camera mode for iPhone 7 Plus and other improvements...
0.712703462923385-91,Qualcomm announces first gigabit class LTE mobile device and network...
0.712703462923385-92,Google Flights will now notify you the best time to book cheap flights and hotels...
0.712703462923385-93,Misfit Phase hybrid smartwatch with activity tracking announced starting $175...
0.712703462923385-94,"New Apple MacBook Pro, MacBook Air expected to be announced on October 27..."
0.712703462923385-95,Plantronics BackBeat PRO 2 Bluetooth noise cancelling headphones with 24h battery life announced...
0.712703462923385-96,You can now book Ola and Uber rides directly from Google Search...
0.712703462923385-97,Western Digital My Passport and My Book hard drives launched starting at Rs. 7980...
0.712703462923385-98,"ZTE nubia Z11 miniS with 5.2-inch 1080p display, Snapdragon 625, 4GB RAM, 23MP camera announced..."
0.712703462923385-99,"Google’s Gboard updated with 3D Touch, new themes and iOS 10 emojis..."
0.712703462923385-100,"Samsung introduces 8GB LPDDR4 RAM, coming to next-gen flagship mobile devices..."
0.712703462923385-101,"Reliance Jio 4G speed slowest shows TRAI data, Jio says tests performed after FUP..."
0.712703462923385-102,"Panasonic Eluga Tapp with 2GB RAM, fingerprint sensor, 4G VoLTE launched for Rs. 8990..."
0.712703462923385-103,Vodafone offers free incoming calls while roaming nationally...
0.712703462923385-104,"Chrome 54 for Android gets support for background media playback, article suggestions and more..."
0.712703462923385-105,Facebook claims India has over 155 million monthly active users...
0.712703462923385-106,"Gionee P7 Max with 5.5-inch display, 3GB RAM, 4G VoLTE, 3100mAh battery launched for Rs. 13999..."
0.712703462923385-107,LG G6 will reportedly not have a modular design and Friends modules...
0.712703462923385-108,"Honor 6X with 5.5-inch 1080p display, 4GB RAM, 64GB internal storage dual rear cameras, 4G VoLTE announced..."
0.712703462923385-109,Vodafone India creates new Guinness World Record with largest paper recharge voucher...
0.712703462923385-110,Samsung India to offer full refunds for imported Galaxy Note7 units...
0.712703462923385-111,Nokia and Airtel to expand 4G deployment in three new circles...
0.712703462923385-112,Samsung to invest Rs.1970 crore in UP to further boost Make in India...
0.712703462923385-113,"Qualcomm Snapdragon 653, 626 and 427 SoCs with X9 LTE modem, Quick Charge 3.0 support announced..."
0.712703462923385-114,Qualcomm X50 5G modem with up to 5Gbps download speeds announced...
0.712703462923385-115,Google Flights will now notify you the best time to book cheap flights and hotels...
0.712703462923385-116,Logitech M221 Silent and M331 Silent Plus mice launched for Rs. 1395 and Rs. 1095...
0.712703462923385-117,Misfit Phase hybrid smartwatch with activity tracking announced starting $175...
0.712703462923385-118,Xiaomi sells more than 1 million smartphones in India in 18 days...
0.712703462923385-119,Plantronics BackBeat PRO 2 Bluetooth noise cancelling headphones with 24h battery life announced...
0.712703462923385-120,Airtel now offers 10GB 4G data for Rs. 259 with any new 4G smartphone...
0.712703462923385-121,You can now book Ola and Uber rides directly from Google Search...
0.712703462923385-122,Microsoft’s advanced speech recognition system reaches human parity...
0.712703462923385-123,Western Digital My Passport and My Book hard drives launched starting at Rs. 7980...
0.712703462923385-124,"ZTE nubia Z11 miniS with 5.2-inch 1080p display, Snapdragon 625, 4GB RAM, 23MP camera announced..."
0.712703462923385-125,"Google’s Gboard updated with 3D Touch, new themes and iOS 10 emojis..."
0.712703462923385-126,"Samsung introduces 8GB LPDDR4 RAM, coming to next-gen flagship mobile devices..."
0.712703462923385-127,Now all Tesla cars to come with full self-driving hardware...
0.712703462923385-128,Qualcomm announces first gigabit class LTE mobile device and network...
0.712703462923385-129,"Reliance Jio 4G speed slowest shows TRAI data, Jio says tests performed after FUP..."
0.712703462923385-130,"Panasonic Eluga Tapp with 2GB RAM, fingerprint sensor, 4G VoLTE launched for Rs. 8990..."
0.712703462923385-131,Vodafone offers free incoming calls while roaming nationally...
0.712703462923385-132,"Chrome 54 for Android gets support for background media playback, article suggestions and more..."
0.712703462923385-133,Facebook claims India has over 155 million monthly active users...
0.712703462923385-134,"Moto G4, G4 Plus Android 7.0 Nougat to roll out in India soon, soak test begins for G4 Plus..."
0.712703462923385-135,"Gionee P7 Max with 5.5-inch display, 3GB RAM, 4G VoLTE, 3100mAh battery launched for Rs. 13999..."
0.712703462923385-136,Qualcomm announces first gigabit class LTE mobile device and network... http://fb.me/QJXo7Zx7 
0.712703462923385-137,Google Flights will now notify you the best time to book cheap flights and hotels... http://fb.me/2wQo3CYKN 
0.712703462923385-138,Logitech M221 Silent and M331 Silent Plus mice launched for Rs. 1395 and Rs. 1095... http://fb.me/KN3iRTUF 
0.712703462923385-139,Misfit Phase hybrid smartwatch with activity tracking announced starting $175... http://fb.me/3yFukrvQn 
0.712703462923385-140,"New Apple MacBook Pro, MacBook Air expected to be announced on October 27... http://fb.me/7GFuIbptr "
0.712703462923385-141,Xiaomi sells more than 1 million smartphones in India in 18 days... http://fb.me/8ejxvSZeO 
0.712703462923385-142,Airtel now offers 10GB 4G data for Rs. 259 with any new 4G smartphone... http://fb.me/1Enw4fqIo 
0.712703462923385-143,Qualcomm X50 5G modem with up to 5Gbps download speeds announced... http://fb.me/84ATAraWo 
0.712703462923385-144,You can now book Ola and Uber rides directly from Google Search... http://fb.me/1Ov21gd6X 
0.712703462923385-145,Microsoft’s advanced speech recognition system reaches human parity... http://fb.me/6KA54nCfC 
0.712703462923385-146,Western Digital My Passport and My Book hard drives launched starting at Rs. 7980... http://fb.me/4bzga6DLx 
0.712703462923385-147,"ZTE nubia Z11 miniS with 5.2-inch 1080p display, Snapdragon 625, 4GB RAM, 23MP camera announced... http://fb.me/7KoSCNGua "
0.712703462923385-148,"Google’s Gboard updated with 3D Touch, new themes and iOS 10 emojis... http://fb.me/7HcEeGl5w "
0.712703462923385-149,"Samsung introduces 8GB LPDDR4 RAM, coming to next-gen flagship mobile devices... http://fb.me/8chhp1o6U "
0.712703462923385-150,Now all Tesla cars to come with full self-driving hardware... http://fb.me/56mqB7tm7 
0.712703462923385-151,Vodafone India creates new Guinness World Record with largest paper recharge voucher...
0.712703462923385-152,Samsung India to offer full refunds for imported Galaxy Note7 units...
0.712703462923385-153,Nokia and Airtel to expand 4G deployment in three new circles...
0.712703462923385-154,Samsung to invest Rs.1970 crore in UP to further boost Make in India...
0.712703462923385-155,"Qualcomm Snapdragon 653, 626 and 427 SoCs with X9 LTE modem, Quick Charge 3.0 support announced..."
0.712703462923385-156,Qualcomm X50 5G modem with up to 5Gbps download speeds announced...
0.712703462923385-157,Qualcomm announces first gigabit class LTE mobile device and network...
0.712703462923385-158,Google Flights will now notify you the best time to book cheap flights and hotels...
0.712703462923385-159,Misfit Phase hybrid smartwatch with activity tracking announced starting $175...
0.712703462923385-160,"New Apple MacBook Pro, MacBook Air expected to be announced on October 27..."
0.712703462923385-161,Plantronics BackBeat PRO 2 Bluetooth noise cancelling headphones with 24h battery life announced...
0.712703462923385-162,Airtel now offers 10GB 4G data for Rs. 259 with any new 4G smartphone...
0.712703462923385-163,You can now book Ola and Uber rides directly from Google Search...
0.712703462923385-164,Microsoft’s advanced speech recognition system reaches human parity...
0.712703462923385-165,Western Digital My Passport and My Book hard drives launched starting at Rs. 7980...
0.712703462923385-166,Moov HR is a heart-rate sensor that you wear on your head...
